"tgl","manufacture","version","max_slot","iploopback","hostname","self_slot","tipe_card","tipe_card","cap","port_used","port_idle","list_port_used"
"2025-10-09","nokia","7750 SR-12","10","172.30.65.135","ME9-D1-KDTA","1/1","me16-25gb-sfp28+2-100gb-qsfp28","me16-25gb-sfp28+2-100gb-qsfp28","16x10_2x100","18","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"2025-10-09","nokia","7750 SR-12","10","172.30.65.135","ME9-D1-KDTA","1/2","me6-100gb-qsfp28","me6-100gb-qsfp28","100","6","0","1,2,3,4,5,6"
"2025-10-09","nokia","7750 SR-12","10","172.30.65.135","ME9-D1-KDTA","10/1","me16-25gb-sfp28+2-100gb-qsfp28","me16-25gb-sfp28+2-100gb-qsfp28","16x10_2x100","18","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"2025-10-09","nokia","7750 SR-12","10","172.30.65.135","ME9-D1-KDTA","10/2","me6-100gb-qsfp28","me6-100gb-qsfp28","100","6","0","1,2,3,4,5,6"
"2025-10-09","nokia","7750 SR-12","10","172.30.65.135","ME9-D1-KDTA","3/2","me6-100gb-qsfp28","me6-100gb-qsfp28","100","5","1","1,2,3,4,5"
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","0/0","2x 10GE  XFP","2x 10GE  XFP","10","0","2",""
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","0/1","2x 10GE  XFP","2x 10GE  XFP","10","0","2",""
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","0/2","10x 1GE(LAN) SFP","10x 1GE(LAN) SFP","1","0","10",""
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","0/3","10x 1GE(LAN) SFP","10x 1GE(LAN) SFP","1","2","8","8,9"
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","2/0","4x 10GE(LAN) SFP+","4x 10GE(LAN) SFP+","10","4","0","0,1,2,3"
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","2/1","4x 10GE(LAN) SFP+","4x 10GE(LAN) SFP+","10","1","3","0"
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","2/2","4x 10GE(LAN) SFP+","4x 10GE(LAN) SFP+","10","0","4",""
"2025-10-09","junos","mx960","11","30.30.30.48","R4.NSK.PE-MOBILE.2","2/3","4x 10GE(LAN) SFP+","4x 10GE(LAN) SFP+","10","1","3","1"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/0/0","A9K-MPA-20X10GE","A9K-MPA-20X10GE","10","4","16","0,1,18,19"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/0/1","A9K-MPA-20X1GE","A9K-MPA-20X1GE","1","3","17","0,1,19"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/1/","A9K-8X100GE-TR","A9K-8X100GE-TR","100","2","6","0,1"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/2/","A9K-8X100GE-SE","A9K-8X100GE-SE","100","6","2","0,1,2,3,6,7"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/3/","A9K-8X100GE-TR","A9K-8X100GE-TR","100","8","0","0,1,2,3,4,5,6,7"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/4/","A9K-8X100GE-TR","A9K-8X100GE-TR","100","8","0","0,1,2,3,4,5,6,7"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/5/","A9K-8X100GE-TR","A9K-8X100GE-TR","100","8","0","0,1,2,3,4,5,6,7"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/7/0","A9K-MPA-20X10GE","A9K-MPA-20X10GE","10","4","16","0,1,2,19"
"2025-10-09","cisco","ASR-9010","8","180.250.225.95","R4.SKH.PE-MOBILE.1","0/7/1","A9K-MPA-2X40GE","A9K-MPA-2X40GE","10","0","4",""
